Period ,YTD ,,P01,P01,P01,P01,P02,P02,P02,P02,P03,P03,P03,P03,P04,P04,P04,P04,P05,P05,P05,P05,P06,P06,P06,P06,P07,P07,P07,P07,P08,P08,P08,P08,P09,P09,P09,P09,P10,P10,P10,P10,P11,P11,P11,P11,P12,P12,P12,P12,P13,P13,P13,P13,P13
Week,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistics Warehouse Lanbour Anlaysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget,"188,947",,"26,133","14,840","14,901","15,173","14,802","15,369","14,065","14,791","14,305","14,199","14,221","16,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual,"163,314",,"16,783","12,727","12,512","10,204","12,350","13,137","14,736","13,302","14,546","14,410","14,432","14,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bud Var,"25,634",,"9,350","2,113","2,389","4,969","2,452","2,232",(671),"1,489",(241),(211),(211),"1,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volume ,"(1,719)",,"(7,257)","1,720",(930),"(1,829)",0,488,778,959,"2,263","1,262",828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flex Bud,"187,228",,"18,875","16,560","13,970","13,345","14,802","15,857","14,842","15,751","16,568","15,461","15,049","16,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual,"163,314",,"16,783","12,727","12,512","10,204","12,350","13,137","14,736","13,302","14,546","14,410","14,432","14,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flex Bud VAR,"23,915",,"2,092","3,833","1,459","3,140","2,452","2,720",107,"2,449","2,022","1,051",617,"1,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prod,"11,413",,"1,279","2,388",752,583,"1,158","1,096",530,495,"1,268",645,810,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,"3,233",,"(1,027)",268,487,218,747,754,(109),617,390,(282),(229),"1,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday ,"4,668",,772,524,(207),227,438,565,550,806,686,438,(104),(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absence,"1,423",,308,368,370,378,120,244,(237),(243),(243),361,241,(244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rate,"3,178",,760,285,56,"1,735",(11),61,(627),773,(79),(111),(101),437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance ,"23,915",,"2,092","3,833","1,459","3,140","2,452","2,720",107,"2,449","2,022","1,051",617,"1,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month End Adj.,"3,290",,,,,"1,479",,,,"1,853",,,,(42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act. Performance,"27,204",,"2,092","3,833","1,459","4,619","2,452","2,720",107,"4,302","2,022","1,051",617,"1,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
